song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
07Kq5cRJkYNieu1rge3PZX,UNFORGIVEN - Japanese ver.,LE SSERAFIM,UNFORGIVEN (Japanese ver.),182933,1,4804304,52,82,8/8/2023,3/4/2024,58,['k-pop girl group']
5zYrD1r49ex3WJk6iVIhfw,"Eve, Psyche & the Bluebeard’s wife (feat. Demi Lovato)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (feat. Demi Lovato)",185538,1,4804304,47,82,4/8/2023,3/4/2024,53,['k-pop girl group']
7y2WZKii5EQkpGUef37XkR,"Eve, Psyche & the Bluebeard’s wife (Rina Sawayama Remix)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (Rina Sawayama Remix)",174173,1,4804304,44,82,28/7/2023,3/4/2024,51,['k-pop girl group']
1PeBPKbOCc370rnLKploBL,ジュエリー (Prod. imase),LE SSERAFIM,ジュエリー (Prod. imase),163813,1,4804304,56,82,25/7/2023,3/4/2024,63,['k-pop girl group']
2KsiPmkW27MalI0SqC64eI,"Eve, Psyche & the Bluebeard’s wife (feat. UPSAHL)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (feat. UPSAHL)",186119,1,4804304,42,82,14/7/2023,3/4/2024,48,['k-pop girl group']
1xaLyNaaZC3i5tmaDAWP76,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",186119,1,4804304,49,82,6/7/2023,3/4/2024,55,['k-pop girl group']
0BJMgVrnWIvgYsjq8KaPeh,SCIENTIST,TWICE,Formula of Love: O+T=<3,194600,1,19843777,74,81,12/11/2021,3/4/2024,64,"['k-pop', 'k-pop girl group', 'pop']"
14k4ALBLN2FjtELYDcQUoi,MOONLIGHT,TWICE,Formula of Love: O+T=<3,219386,2,19843777,74,81,12/11/2021,3/4/2024,60,"['k-pop', 'k-pop girl group', 'pop']"
2VdU1ksBKcETBr8BYRHUvB,ICON,TWICE,Formula of Love: O+T=<3,176160,3,19843777,74,81,12/11/2021,3/4/2024,58,"['k-pop', 'k-pop girl group', 'pop']"
139JUU8fJkQoeHl9nABk9C,CRUEL,TWICE,Formula of Love: O+T=<3,211426,4,19843777,74,81,12/11/2021,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
3ax3sc1Rn99YbjyKT0HALS,REAL YOU,TWICE,Formula of Love: O+T=<3,187933,5,19843777,74,81,12/11/2021,3/4/2024,51,"['k-pop', 'k-pop girl group', 'pop']"
4O1WbQwMV0W6Y2dUCvwoBx,F.I.L.A (Fall In Love Again),TWICE,Formula of Love: O+T=<3,191253,6,19843777,74,81,12/11/2021,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
39kH6C2twlYjyssIW02sbr,LAST WALTZ,TWICE,Formula of Love: O+T=<3,170560,7,19843777,74,81,12/11/2021,3/4/2024,56,"['k-pop', 'k-pop girl group', 'pop']"
61iEzLnJzBnMwumWtn0nFp,ESPRESSO,TWICE,Formula of Love: O+T=<3,187800,8,19843777,74,81,12/11/2021,3/4/2024,53,"['k-pop', 'k-pop girl group', 'pop']"
4BBnKqIS2pj2hX0zm0CZZx,REWIND,TWICE,Formula of Love: O+T=<3,180613,9,19843777,74,81,12/11/2021,3/4/2024,61,"['k-pop', 'k-pop girl group', 'pop']"
5TYy2SgTQUv6YGWHbryUV8,CACTUS,TWICE,Formula of Love: O+T=<3,217213,10,19843777,74,81,12/11/2021,3/4/2024,51,"['k-pop', 'k-pop girl group', 'pop']"
