song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,genres,days_diff,popularity
40CJrEAyXS8qe0BBFbYbJO,Perfect Night (Holiday Remix),LE SSERAFIM,Perfect Night (Holiday Remix),162336,1,4785169,51,82,2023-11-23,['k-pop girl group'],131.0,57
4QhnNyKDsAkXPwHkSnuc89,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,UNFORGIVEN,185538,10,4785169,82,82,2023-05-01,['k-pop girl group'],337.0,78
4fsQ0K37TOXa3hEQfjEic1,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE,184444,2,4785169,74,82,2022-10-17,['k-pop girl group'],533.0,74
0v6wAlWCzHYj1OuJrVuH7J,FRI(END)S (Sped Up),V,FRI(END)S,123000,3,17572291,87,83,2024-03-15,"['j-division', 'korean ost']",18.0,76
4njgp1LC4XoUsnF3pN0WXX,FRI(END)S (Slowed Down),V,FRI(END)S,162000,4,17572291,87,83,2024-03-15,"['j-division', 'korean ost']",18.0,75
0SftJDguUa1F5SsQwwkLw4,Love Me Again,V,Layover,182293,3,17572291,86,83,2023-09-08,"['j-division', 'korean ost']",207.0,85
54bg1e6ABcZfpU3yzwxnPf,Rainy Days,V,Layover,179560,1,17572291,86,83,2023-09-08,"['j-division', 'korean ost']",207.0,73
2UU11hvjN1JIn4iihEodNT,Blue,V,Layover,149853,2,17572291,86,83,2023-09-08,"['j-division', 'korean ost']",207.0,76
4HAOgAnILvXCbSODMoRnmD,For Us,V,Layover,171160,5,17572291,86,83,2023-09-08,"['j-division', 'korean ost']",207.0,76
3Wno87vVBVbSVS2vUUFuKC,Sweet Night,V,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,214258,1,17572291,66,83,2020-03-13,"['j-division', 'korean ost']",1481.0,71
186NCtNk1tUYS7c2DxgJ7O,Christmas Tree,V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",209946,1,17572291,67,83,2021-12-24,"['j-division', 'korean ost']",830.0,72
1j8jqwFpFQ8YqsIJAiYFLZ,Wife,(G)I-DLE,2,121226,8,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,73
3qWCIDzq2fBeCMNOL27XLX,Revenge,(G)I-DLE,2,144053,2,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,64
4C7PyWUlTLUUgVZQVboCma,Doll,(G)I-DLE,2,153546,3,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,63
7Dc5JF6aM3FjRMemwC39Ho,Vision,(G)I-DLE,2,160826,4,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,61
1U7dCgahLpmAqLQ8YLh7tP,7Days,(G)I-DLE,2,198520,5,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,61
71E2JcSbv1abMaua23RBSV,Rollie,(G)I-DLE,2,163573,7,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,63
