db.pubDate,db.artist,db.song_name,db.yturl,db.type,db.release,spotify.track.id,spotify.track.href,spotify.track.name,spotify.track.popularity,spotify.track.duration_ms,spotify.track.track_number,spotify.album.id,spotify.album.name,spotify.album.type,spotify.album.release_date,spotify.album.total_tracks,spotify.album.href,spotify.album.popularity,spotify.album.genres,spotify.artist.id,spotify.artist.name,spotify.artist.href,spotify.artist.popularity,spotify.artist.followers,spotify.artist.genres
2018-08-11,Brave Girls,Rollin' (New ver.),https://youtu.be/MthLgPs7oU4,Girl,Major,7DkqdEiDja7Gn9zvrfy7Vw,https://api.spotify.com/v1/tracks/7DkqdEiDja7Gn9zvrfy7Vw,Rollin' (New Version),38.0,201859.0,1.0,4xmh2xJI6SENhp5cvXiynw,Rollin' (New Version),single,2018-08-11,1.0,https://api.spotify.com/v1/albums/4xmh2xJI6SENhp5cvXiynw,25.0,,7t5H3uQv0Zw6cQUnSTF5BB,Brave Girls,https://api.spotify.com/v1/artists/7t5H3uQv0Zw6cQUnSTF5BB,45.0,357180.0,"k-pop, k-pop girl group"
2018-08-10,Hoons,"Sweet & Salty, Sweet & Salty",https://youtu.be/-G5Itci4KJ8,Boy,Major,2gx9ARIznyZBYa6YyWD5fo,https://api.spotify.com/v1/tracks/2gx9ARIznyZBYa6YyWD5fo,Sweet Dream,45.0,236536.0,1.0,5VfVPotg5IHge0C8PFb5Dt,Sweet Dream,album,2002-10-02,14.0,https://api.spotify.com/v1/albums/5VfVPotg5IHge0C8PFb5Dt,32.0,,2ToVzDfnPIfgFiqkXbLsYN,Jang Na-ra,https://api.spotify.com/v1/artists/2ToVzDfnPIfgFiqkXbLsYN,26.0,7930.0,
2018-08-09,DIA,WooWoo,https://youtu.be/j1OUMTMwVsY,Girl,Major,3V0iuapewZEztAnnW2lP0r,https://api.spotify.com/v1/tracks/3V0iuapewZEztAnnW2lP0r,WooWoo,38.0,201470.0,2.0,4xOy0xU9PRxZUKB8gvz4uc,Summer Ade,album,2018-08-09,8.0,https://api.spotify.com/v1/albums/4xOy0xU9PRxZUKB8gvz4uc,27.0,,5Pcx98OUnL52aGZRRQx5v8,DIA,https://api.spotify.com/v1/artists/5Pcx98OUnL52aGZRRQx5v8,32.0,211036.0,"k-pop, k-pop girl group"
2018-08-09,Cherry On Top,Hi Five,https://youtu.be/gIu3McQ09TE,Girl,Major,4acXEYw7ayyJnm9GXDrqiL,https://api.spotify.com/v1/tracks/4acXEYw7ayyJnm9GXDrqiL,Hit Me Up (feat. Nomovodka),58.0,268200.0,1.0,0FZXUfdUtrkzNyzmT1VLlB,Hit Me Up (feat. Nomovodka),single,2023-10-19,1.0,https://api.spotify.com/v1/albums/0FZXUfdUtrkzNyzmT1VLlB,44.0,,2nSO7JYDbJrYbJmP39qUzj,Binz,https://api.spotify.com/v1/artists/2nSO7JYDbJrYbJmP39qUzj,50.0,1040223.0,"v-pop, vietnamese hip hop"
2018-08-08,KARD,Knockin' on my heaven's door,https://youtu.be/CMY14zAYUCA,Co-ed,Minor,3uuDH3BFu1qF8hMflQznYH,https://api.spotify.com/v1/tracks/3uuDH3BFu1qF8hMflQznYH,Knockin' on my heaven's door,30.0,230153.0,4.0,7iqmCRizEEBOLwPCRnmh8L,KARD 3rd Mini Album 'RIDE ON THE WIND',single,2018-07-25,6.0,https://api.spotify.com/v1/albums/7iqmCRizEEBOLwPCRnmh8L,33.0,,2JhAlkmukNvarUpGhTFXUQ,KARD,https://api.spotify.com/v1/artists/2JhAlkmukNvarUpGhTFXUQ,53.0,1944191.0,k-pop
2018-08-07,LOONA,Favorite,https://youtu.be/AFJPFfnzZ7w,Girl,Major,0YAHBaodj1YIoK0htcE6k6,https://api.spotify.com/v1/tracks/0YAHBaodj1YIoK0htcE6k6,favOriTe,33.0,194147.0,10.0,49CwarPH45v2tFRHhnjtPf,[X X],album,2019-02-19,12.0,https://api.spotify.com/v1/albums/49CwarPH45v2tFRHhnjtPf,45.0,,52zMTJCKluDlFwMQWmccY7,LOONA,https://api.spotify.com/v1/artists/52zMTJCKluDlFwMQWmccY7,53.0,2417789.0,"k-pop, k-pop girl group"
2018-08-06,D-Crunch,Palace,https://youtu.be/u5UtcO5L1N8,Boy,Major,0fgqddAFPRBtdWA6AHWSi7,https://api.spotify.com/v1/tracks/0fgqddAFPRBtdWA6AHWSi7,Palace,56.0,164326.0,1.0,5zkvehUpuqTqKcHiHj4Oci,Palace,single,2022-09-07,1.0,https://api.spotify.com/v1/albums/5zkvehUpuqTqKcHiHj4Oci,43.0,,4RRmL81NhhouCKGo8I6GaU,ADTurnUp,https://api.spotify.com/v1/artists/4RRmL81NhhouCKGo8I6GaU,49.0,52905.0,dream plugg
2018-08-06,Red Velvet,Power Up,https://youtu.be/aiHSVQy9xN8,Girl,Major,381g0b6QZxC13SzA2HRMIc,https://api.spotify.com/v1/tracks/381g0b6QZxC13SzA2HRMIc,Power Up,56.0,202040.0,1.0,5zWa1ZEUBctbKqvwXbFawo,Summer Magic - Summer Mini Album,album,2018-08-06,7.0,https://api.spotify.com/v1/albums/5zWa1ZEUBctbKqvwXbFawo,47.0,,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,https://api.spotify.com/v1/artists/1z4g3DjTBBZKhvAroFlhOM,67.0,9045266.0,"k-pop, k-pop girl group"
2018-08-06,Stray Kids,My Pace,https://youtu.be/pok5yDw77uM,Boy,Major,4yJUQqcnYkDafFzguSbZAl,https://api.spotify.com/v1/tracks/4yJUQqcnYkDafFzguSbZAl,My Pace,59.0,190306.0,8.0,6QIWJVJPPgAA5c4aIb1zCA,SKZ2020,album,2020-03-18,24.0,https://api.spotify.com/v1/albums/6QIWJVJPPgAA5c4aIb1zCA,64.0,,2dIgFjalVxs4ThymZ67YCE,Stray Kids,https://api.spotify.com/v1/artists/2dIgFjalVxs4ThymZ67YCE,80.0,15406501.0,"k-pop, k-pop boy group, pop"
2018-08-06,UP10TION,Chaser,https://youtu.be/qOi8FgUcxrQ,Boy,Japanese,6GICR3XCKLGs1llkGTo17f,https://api.spotify.com/v1/tracks/6GICR3XCKLGs1llkGTo17f,Waiting For You,53.0,266004.0,10.0,40Z8f0FLhVboUdBqnlHiJp,22,album,2022-08-18,11.0,https://api.spotify.com/v1/albums/40Z8f0FLhVboUdBqnlHiJp,46.0,,5jTFNkoZebPnX90CbB3F2A,MONO,https://api.spotify.com/v1/artists/5jTFNkoZebPnX90CbB3F2A,45.0,677429.0,v-pop
2018-08-03,Nature,Allegro Cantabile,https://youtu.be/fuYXtN_MaIg,Girl,Major,2ZMkMtwfnsS7It4xr1MeHq,https://api.spotify.com/v1/tracks/2ZMkMtwfnsS7It4xr1MeHq,Allegro Cantabile,24.0,255348.0,1.0,5EpJCYSo6ywcfKc6GyOHCm,Girls and Flowers,single,2018-08-03,4.0,https://api.spotify.com/v1/albums/5EpJCYSo6ywcfKc6GyOHCm,12.0,,5WUom9mTTEewPdUmI4qnQi,NATURE,https://api.spotify.com/v1/artists/5WUom9mTTEewPdUmI4qnQi,34.0,232163.0,"k-pop, k-pop girl group"
2018-08-02,BtoB-Blue,When it rains,https://youtu.be/2urMSQ2Ms9o,Boy,Major,05qdHvXQCkHz3dgcAVhqc8,https://api.spotify.com/v1/tracks/05qdHvXQCkHz3dgcAVhqc8,When it rains,32.0,271011.0,1.0,4LqnOh5koPahfI8XwXwUZL,When it rains,single,2018-08-02,2.0,https://api.spotify.com/v1/albums/4LqnOh5koPahfI8XwXwUZL,19.0,,1ctTZ3AkC5wi8Z96tnuwrp,BTOB-BLUE,https://api.spotify.com/v1/artists/1ctTZ3AkC5wi8Z96tnuwrp,18.0,36564.0,
2018-08-02,iKON,KIlling Me,https://youtu.be/RyVS7R9PN6U,Boy,Major,1IbpTcFDHRD87cGQOhVCDP,https://api.spotify.com/v1/tracks/1IbpTcFDHRD87cGQOhVCDP,KILLING ME,59.0,193733.0,4.0,6RZYa7F18bu7mmeT8qxWqh,NEW KIDS REPACKAGE : THE NEW KIDS,album,2019-01-07,23.0,https://api.spotify.com/v1/albums/6RZYa7F18bu7mmeT8qxWqh,51.0,,5qRSs6mvI17zrkJpOHkCoM,iKON,https://api.spotify.com/v1/artists/5qRSs6mvI17zrkJpOHkCoM,56.0,3287979.0,"k-pop, k-pop boy group"
2018-08-02,Riot Kidz,Fahrenheit,https://youtu.be/Jsv7L7yFELs,Boy,Major,4BiNlZVEnT4Zsa7Ww3seWY,https://api.spotify.com/v1/tracks/4BiNlZVEnT4Zsa7Ww3seWY,FAHRENHEIT,4.0,210748.0,2.0,3oiHYkDbfEDJF4wUJIwQ4b,ANTIDOTE,album,2019-06-07,12.0,https://api.spotify.com/v1/albums/3oiHYkDbfEDJF4wUJIwQ4b,2.0,,6CDRCanbE1lFPCNx8aTJrL,Riot Kidz,https://api.spotify.com/v1/artists/6CDRCanbE1lFPCNx8aTJrL,2.0,622.0,korean punk
2018-08-01,Dreamcatcher,Mayday,https://youtu.be/_t9FAYWsUkM,Girl,Minor,4fZzNdpBHxsaBqe1tSu8yN,https://api.spotify.com/v1/tracks/4fZzNdpBHxsaBqe1tSu8yN,Mayday,39.0,184547.0,3.0,5Kb4FUQqxS5lcHJQVIxTIF,Nightmare - Escape The ERA,single,2018-05-10,6.0,https://api.spotify.com/v1/albums/5Kb4FUQqxS5lcHJQVIxTIF,39.0,,5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,https://api.spotify.com/v1/artists/5V1qsQHdXNm4ZEZHWvFnqQ,56.0,1351033.0,"k-pop, k-pop girl group"
2018-08-01,MONSTA X,Livin' It Up,https://youtu.be/YWL9ClaTm6E,Boy,Japanese,7faNO2qAPfd8oFlMUQaxpn,https://api.spotify.com/v1/tracks/7faNO2qAPfd8oFlMUQaxpn,Livin' It Up - Korean Version,34.0,224346.0,7.0,2Zuovdo5g1RhfbHniwZ8yI,One of a Kind,album,2021-06-01,7.0,https://api.spotify.com/v1/albums/2Zuovdo5g1RhfbHniwZ8yI,42.0,,4TnGh5PKbSjpYqpIdlW5nz,MONSTA X,https://api.spotify.com/v1/artists/4TnGh5PKbSjpYqpIdlW5nz,57.0,5167997.0,"k-pop, k-pop boy group"
2018-07-31,SixBomb,Hiccup Hiccup,https://youtu.be/FsqP8zMD-Yo,Girl,Major,4Jl9B1n2LceulyHyPp9A5C,https://api.spotify.com/v1/tracks/4Jl9B1n2LceulyHyPp9A5C,HICCIP HICCUP,10.0,201374.0,1.0,7BUku0s7Bg68GUBqLhDIIf,HICCIP HICCUP,single,2018-07-31,1.0,https://api.spotify.com/v1/albums/7BUku0s7Bg68GUBqLhDIIf,2.0,,43lrgpItusd3iWQsrmDetE,Six Bomb,https://api.spotify.com/v1/artists/43lrgpItusd3iWQsrmDetE,5.0,4502.0,k-pop girl group
2018-07-31,SF9,Now or Never,https://youtu.be/he_U_kFCQE0,Boy,Major,2gPM5iXzORTiUUyCD3eqxQ,https://api.spotify.com/v1/tracks/2gPM5iXzORTiUUyCD3eqxQ,Now or Never,46.0,212577.0,1.0,7MAqtgwyn1KTCdmnAoSUfx,SF9 5th Mini Album [ Sensuous ],single,2018-07-31,5.0,https://api.spotify.com/v1/albums/7MAqtgwyn1KTCdmnAoSUfx,34.0,,7LOmc7gyMVMOWF8qwEdn2X,SF9,https://api.spotify.com/v1/artists/7LOmc7gyMVMOWF8qwEdn2X,47.0,1706281.0,"k-pop, k-pop boy group"
2018-07-28,Rainz,I Love You,https://youtu.be/aOgrBgFfnu0,Boy,Japanese,4jY5faZP0QY3HthggIkh90,https://api.spotify.com/v1/tracks/4jY5faZP0QY3HthggIkh90,"Darling, I Love You (Rainy Mood)",23.0,216000.0,8.0,5AL1X0y6RuTDQC0rqpKnQR,Piano + Rain,album,2020-11-27,34.0,https://api.spotify.com/v1/albums/5AL1X0y6RuTDQC0rqpKnQR,38.0,,3dKnHhya1g24Mwljr9jbDu,Martin Czerny,https://api.spotify.com/v1/artists/3dKnHhya1g24Mwljr9jbDu,53.0,10674.0,
2018-07-27,Laboum,Between Us,https://youtu.be/d4hWIUSi73c,Girl,Major,288ryQQCqObCzKzlXf6FG3,https://api.spotify.com/v1/tracks/288ryQQCqObCzKzlXf6FG3,체온 Between Us,34.0,223011.0,1.0,5zlXlpOKxzKgT03fvQdrpu,Between Us,single,2018-07-28,3.0,https://api.spotify.com/v1/albums/5zlXlpOKxzKgT03fvQdrpu,22.0,,4iO5uKMUphLqQ20TfrdZx3,LABOUM,https://api.spotify.com/v1/artists/4iO5uKMUphLqQ20TfrdZx3,30.0,179247.0,"k-pop, k-pop girl group"
2018-07-26,IN2IT,Sorry For My English,https://youtu.be/a9uoNiDBnys,Boy,Major,1ofO4zGsmNvVQ5yVGeCGCo,https://api.spotify.com/v1/tracks/1ofO4zGsmNvVQ5yVGeCGCo,Sorry For My English,22.0,181343.0,2.0,4icRVwq9LJzREocHzjnY03,Into the Night Fever,single,2018-07-26,6.0,https://api.spotify.com/v1/albums/4icRVwq9LJzREocHzjnY03,11.0,,43GYq8c6nVEgaEyg0qtzJd,IN2IT,https://api.spotify.com/v1/artists/43GYq8c6nVEgaEyg0qtzJd,17.0,236123.0,"k-pop, k-pop boy group"
2018-07-26,100%,Grand Bleu,https://youtu.be/rOLwRCFPTJk,Boy,Major,2FpOWzBP9SnXziOLe0Dodm,https://api.spotify.com/v1/tracks/2FpOWzBP9SnXziOLe0Dodm,Zero,30.0,730186.0,13.0,0hzUEmN8syI9dLdAZsa7Mh,GRANBLUE FANTASY: Relink ORIGINAL SOUNDTRACK,album,2024-03-13,138.0,https://api.spotify.com/v1/albums/0hzUEmN8syI9dLdAZsa7Mh,37.0,,5CvzvjgXoxxYgVrSurJRJ3,Tsutomu Narita,https://api.spotify.com/v1/artists/5CvzvjgXoxxYgVrSurJRJ3,35.0,5593.0,japanese vgm
2018-07-26,FTISLAND,Summer Night's Dream,https://youtu.be/VZRuXcX5nz4,Boy,Major,3U3ymtVenfonhe5RDuLjOp,https://api.spotify.com/v1/tracks/3U3ymtVenfonhe5RDuLjOp,Summer Night's Dream,33.0,176012.0,1.0,4N00gy5kO6REHncs2vxt2n,FTISLAND 6TH MINI ALBUM [WHAT IF],single,2018-07-26,6.0,https://api.spotify.com/v1/albums/4N00gy5kO6REHncs2vxt2n,25.0,,6KhH771vq2X2Aom91nNzpZ,FTISLAND,https://api.spotify.com/v1/artists/6KhH771vq2X2Aom91nNzpZ,44.0,467082.0,"k-pop, k-pop boy group, k-rock"
2018-07-25,KARD,Ride on the wind,https://youtu.be/6AZ3BAydZqI,Co-ed,Major,7gQWTvDx7VJRzeRbnlyIm4,https://api.spotify.com/v1/tracks/7gQWTvDx7VJRzeRbnlyIm4,Ride on the wind,40.0,176631.0,3.0,7iqmCRizEEBOLwPCRnmh8L,KARD 3rd Mini Album 'RIDE ON THE WIND',single,2018-07-25,6.0,https://api.spotify.com/v1/albums/7iqmCRizEEBOLwPCRnmh8L,33.0,,2JhAlkmukNvarUpGhTFXUQ,KARD,https://api.spotify.com/v1/artists/2JhAlkmukNvarUpGhTFXUQ,53.0,1944191.0,k-pop
2018-07-25,Airisu,Oppa,https://youtu.be/BYZalJ8WJz8,Girl,Major,7Kro8P85DDNonm6HnEa79j,https://api.spotify.com/v1/tracks/7Kro8P85DDNonm6HnEa79j,Oppa - Sped Up,54.0,77509.0,1.0,5YhkMeQCqX7pqhBIhgFwyd,Oppa (Sped Up),single,2023-06-08,1.0,https://api.spotify.com/v1/albums/5YhkMeQCqX7pqhBIhgFwyd,41.0,,6IQCHQSopenTR9Tr9vIelQ,NECROLX,https://api.spotify.com/v1/artists/6IQCHQSopenTR9Tr9vIelQ,52.0,23281.0,phonk brasileiro
2018-07-24,Astro,Always You,https://youtu.be/T1ozr79pcjo,Boy,Major,1jh1P9fuJV8Oay1f5vLR9b,https://api.spotify.com/v1/tracks/1jh1P9fuJV8Oay1f5vLR9b,Always You,45.0,223723.0,1.0,4fKnhoRiKatKfWlIjNdFpW,Rise Up,single,2018-07-24,5.0,https://api.spotify.com/v1/albums/4fKnhoRiKatKfWlIjNdFpW,41.0,,4pz4uzOMpJQyV8UTsDy4H8,ASTRO,https://api.spotify.com/v1/artists/4pz4uzOMpJQyV8UTsDy4H8,53.0,2072557.0,"k-pop, k-pop boy group"
2018-07-23,Super Junior D&E,Sunrise,https://youtu.be/3auavb5f0bw,Boy,Japanese,16dtVsfSZ58SdCAEtShwho,https://api.spotify.com/v1/tracks/16dtVsfSZ58SdCAEtShwho,Sunrise - Korean Version,30.0,212106.0,6.0,2lwfwVAKf0cB4Uc5qqhk2P,DANGER - The 3rd Mini Album,album,2019-04-14,7.0,https://api.spotify.com/v1/albums/2lwfwVAKf0cB4Uc5qqhk2P,31.0,,3EfnKIG9827OXkcQQT7HEI,SUPER JUNIOR-D&E,https://api.spotify.com/v1/artists/3EfnKIG9827OXkcQQT7HEI,44.0,643437.0,"k-pop, k-pop boy group"
2018-07-22,ELRIS,Lovely,https://youtu.be/RROsdhiFNWQ,Girl,Minor,40fh01bdbzDSqDPXdkGLrW,https://api.spotify.com/v1/tracks/40fh01bdbzDSqDPXdkGLrW,Lovely,14.0,211049.0,4.0,2HLeKfrHYquFIoM6VArIzJ,SUMMER DREAM,single,2018-06-28,5.0,https://api.spotify.com/v1/albums/2HLeKfrHYquFIoM6VArIzJ,22.0,,1mgzY8CsK8lyJy96tT8bV5,ALICE,https://api.spotify.com/v1/artists/1mgzY8CsK8lyJy96tT8bV5,30.0,227544.0,k-pop girl group
2018-07-19,GFRIEND,Sunny Summer,https://youtu.be/M9P90QTo_uE,Girl,Major,7IE8eERSpTC9Jaw3arl99B,https://api.spotify.com/v1/tracks/7IE8eERSpTC9Jaw3arl99B,Sunny Summer,47.0,198536.0,1.0,65HAyK45TFC2MJSufJwzji,GFRIEND Summer Mini Album 'Sunny Summer',single,2018-07-19,5.0,https://api.spotify.com/v1/albums/65HAyK45TFC2MJSufJwzji,38.0,,0qlWcS66ohOIi0M8JZwPft,GFRIEND,https://api.spotify.com/v1/artists/0qlWcS66ohOIi0M8JZwPft,58.0,1604011.0,"k-pop, k-pop girl group"
2018-07-19,Boyfriend,Call Me,https://youtu.be/6vau7L4odDU,Boy,Japanese,2sFEmuVVAa2klHwhFaT0rR,https://api.spotify.com/v1/tracks/2sFEmuVVAa2klHwhFaT0rR,"BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)",62.0,204364.0,23.0,1GG6U2SSJPHO6XsFiBzxYv,CALL ME IF YOU GET LOST: The Estate Sale,album,2023-03-31,24.0,https://api.spotify.com/v1/albums/1GG6U2SSJPHO6XsFiBzxYv,70.0,,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF,82.0,14991331.0,"hip hop, rap"
